source,target
4487560cc7220abc4be94569f5676a18b2d1e5fd,0bcc91a806d593b3125df88f485a66caa90684f7
ec1c5423cd08d3d5f6ab87cd1a814ae74b3a6c1d,0bcc91a806d593b3125df88f485a66caa90684f7
af0f8c8a7e1b4e151e1e51f5938214023a711ef3,0bcc91a806d593b3125df88f485a66caa90684f7
7bc0a1a5663e98be11853b0df4770f6db592af8c,0bcc91a806d593b3125df88f485a66caa90684f7
a3307f7a6cbc8e6e0fc992bb1482f5234faac074,0bcc91a806d593b3125df88f485a66caa90684f7
58fc40ba1aaf3694f9c44425524bdc9a2c3aa35b,0bcc91a806d593b3125df88f485a66caa90684f7
05b002004a65f4ad98024d3159ff9ada4f8120f6,0bcc91a806d593b3125df88f485a66caa90684f7
91b87b13085149bb99e40259d00e3e3ba1f2e745,0bcc91a806d593b3125df88f485a66caa90684f7
18ba02b71d316d4af1f9cc18fa6535b0566fce2a,0bcc91a806d593b3125df88f485a66caa90684f7
9e1ae3eed931d798ddc247313fc7f514add1b76d,0bcc91a806d593b3125df88f485a66caa90684f7
db133c21fda94a568e1decf78e4ac6cc80eef5ba,0bcc91a806d593b3125df88f485a66caa90684f7
a266d4ff464e3c626f99d0f755a56b82c7c50e8f,0bcc91a806d593b3125df88f485a66caa90684f7
c0c673a10796c8a30cdbb8158a56fb1902f63ac4,0bcc91a806d593b3125df88f485a66caa90684f7
cfe19da3dbd6929619a23cae61e6275470beb85b,0bcc91a806d593b3125df88f485a66caa90684f7
43bfed1bbe786928a8e0b27a34cc1abd69a8bea5,0bcc91a806d593b3125df88f485a66caa90684f7
5888db4fa5ddef26f529c4595491794b96435672,0bcc91a806d593b3125df88f485a66caa90684f7
a5b6e120a104cd6b9a1234db2432476327844e3d,0bcc91a806d593b3125df88f485a66caa90684f7
8951924ef9108c6440b6473351ed288388868dd8,0bcc91a806d593b3125df88f485a66caa90684f7
91cd37877ac5624cd27d5588a86cb50069c3a981,0bcc91a806d593b3125df88f485a66caa90684f7
315a3230c36e75333758af3c87b5de647e4d6ae8,0bcc91a806d593b3125df88f485a66caa90684f7
b595a77b17ec0597394da1ecb9b2b0550014dfa9,0bcc91a806d593b3125df88f485a66caa90684f7
250bacbf8f54ee6897e2882d2100428b7b64a762,0bcc91a806d593b3125df88f485a66caa90684f7
da4d2caa28d14bc9cec284ef7515624621306576,0bcc91a806d593b3125df88f485a66caa90684f7
afe2cec8663412f0c7360e705ff7facc6ec53df7,0bcc91a806d593b3125df88f485a66caa90684f7
9fd176668b7f9645c9a2797610af44d4195678a9,0bcc91a806d593b3125df88f485a66caa90684f7
85e288f81176428360e46bdae5caf5e04d5aa3af,0bcc91a806d593b3125df88f485a66caa90684f7
589224064f46a2b9d469d8b42ae8b0bafc67f900,0bcc91a806d593b3125df88f485a66caa90684f7
ce2c4caf71a379f0607137f814222863cfb9f2cc,0bcc91a806d593b3125df88f485a66caa90684f7
b935c695627ec9ad7fcf812e63396794d782f1f3,0bcc91a806d593b3125df88f485a66caa90684f7
62cef12e9e8ffb01e9d8b3fd7600c311cfd14140,0bcc91a806d593b3125df88f485a66caa90684f7
18e107a8efc77adb9cfe69b5aa7a71f894924727,0bcc91a806d593b3125df88f485a66caa90684f7
64d27afd59aef44bd6d56298cedf6443869f4bcd,0bcc91a806d593b3125df88f485a66caa90684f7
0aa3c62f6fb954fdf1c080e0ca8faa5c113e184b,0bcc91a806d593b3125df88f485a66caa90684f7
1e199676469fe00fbf2bbfb8925df11e5369333a,0bcc91a806d593b3125df88f485a66caa90684f7
3d7bcd21cbb8a8f9264ab6005292c885d898b9a0,0bcc91a806d593b3125df88f485a66caa90684f7
ab22ab67fb08ff97c4cea8dae75628fa2412ec8f,0bcc91a806d593b3125df88f485a66caa90684f7
e3f5c34b7eb2ba8c23f92ddc1551005f7513301c,0bcc91a806d593b3125df88f485a66caa90684f7
5156e305e7c26e215cdcc4a71028be6e8d4a6e17,0bcc91a806d593b3125df88f485a66caa90684f7
963714f01e9344f27b5ad909e21e5fa00225b8ea,0bcc91a806d593b3125df88f485a66caa90684f7
70acd430611c0abe18c9a561aff431ddf82ece6a,0bcc91a806d593b3125df88f485a66caa90684f7
0a3315998e9532167d8b0b6ccc8052abcfae9ec9,0bcc91a806d593b3125df88f485a66caa90684f7
14e608b7e95325a6f3ce2109f64b031446d4bf75,0bcc91a806d593b3125df88f485a66caa90684f7
69c6a91d6cb6807a7c730bd1445209737361d7b8,0bcc91a806d593b3125df88f485a66caa90684f7
a46a66cf04959f0e66fe24d32a63632aff5c5ef9,0bcc91a806d593b3125df88f485a66caa90684f7
d7c07340a5a3129f561f2035cf60cc55919063d2,0bcc91a806d593b3125df88f485a66caa90684f7
2c7ad449d94a579a539c04721153e922cfdd1c4f,0bcc91a806d593b3125df88f485a66caa90684f7
053984a98942d96f02505ef96a075ee9ac1e7e9c,0bcc91a806d593b3125df88f485a66caa90684f7
a1af1657a8ecd3559ad0ea1edec58e77d9b9b0b4,0bcc91a806d593b3125df88f485a66caa90684f7
a9a05a31371bedca78e0620b34549b22508dc39c,0bcc91a806d593b3125df88f485a66caa90684f7
be001fe8d3823490417e0866331dba500520f5eb,0bcc91a806d593b3125df88f485a66caa90684f7
29c833b9a5e33b684cffcb76fb19997918180136,0bcc91a806d593b3125df88f485a66caa90684f7
8e2660a880090fc1afc8e2d81840bcbba09a30df,0bcc91a806d593b3125df88f485a66caa90684f7
79d0d56f06beb438366a503078cf0aa4b8c94396,0bcc91a806d593b3125df88f485a66caa90684f7
30843331c159178c1dcd8324f12e1df03068dc5b,0bcc91a806d593b3125df88f485a66caa90684f7
cee1690f76da8ad16c0d01478fd79c6b78e139a8,0bcc91a806d593b3125df88f485a66caa90684f7
1b2e68064f2bea7de1f73c4c04a061d05cb0f3e8,0bcc91a806d593b3125df88f485a66caa90684f7
b39b8b5be74498b90ae59297a6883e3fd57b1eb8,0bcc91a806d593b3125df88f485a66caa90684f7
