paper_id,title,authors,year,venue,url
4c7db20078a55d7b86f9da246524306383a39ed8,Congestion avoidance and control,V. Jacobson,1988,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",https://www.semanticscholar.org/paper/4c7db20078a55d7b86f9da246524306383a39ed8
81c92ed8b31b68d47d091ca97f6360eda11d1943,QoS-Driven Contextual MAB for MPQUIC Supporting Video Streaming in Mobile Networks,Wenjun Yang; Lin Cai; Shengjie Shu; Amir Sepahi; Zhiming Huang; Jianping Pan,2025,IEEE Transactions on Mobile Computing,https://www.semanticscholar.org/paper/81c92ed8b31b68d47d091ca97f6360eda11d1943
483a22c8d6be259e059017c3b53f5293d41f84d9,Achieving Fairness Generalizability for Learning-based Congestion Control with Jury,Han Tian; Xudong Liao; D. Sun; Chaoliang Zeng; Yilun Jin; Junxue Zhang; Xinchen Wan; Zilong Wang; Yong Wang; Kai Chen,2025,European Conference on Computer Systems,https://www.semanticscholar.org/paper/483a22c8d6be259e059017c3b53f5293d41f84d9
30f22b4ff4116c5fd705b01db1291e9f2b847002,BBR-with enhanced bandwidth estimation (BBR-EBE+): an improved BBR congestion control algorithm based on TCP acknowledgment compression and aggregation,Charles Kihungi Njogu; Wang Yang; H. Njogu; Adrian Bosire,2025,Telecommunications Systems,https://www.semanticscholar.org/paper/30f22b4ff4116c5fd705b01db1291e9f2b847002
1531a962cab950827b43981711c644d95f350247,Computer network optimization using the power metric for multiple flows: Part I,Meng-Jung Tsai; Leonard Kleinrock,2025,Comput. Networks,https://www.semanticscholar.org/paper/1531a962cab950827b43981711c644d95f350247
0c5fa645b0464e9528fc776646934cbf2292dba6,Enhancing TCP Variants to Estimate Dynamic Bandwidth in Mobile Cloud,S. P. Tamizhselvi; V. Muthuswamy,2025,Wireless personal communications,https://www.semanticscholar.org/paper/0c5fa645b0464e9528fc776646934cbf2292dba6
66b39a8ecf36bfdead57c49dd809f0d9a782e9b2,Towards a new approach to ensure end-to-end reliability of aeronautical data communications,V. Lala; A. Pirovano; J. Radzik,2025,Aeronautical Journal,https://www.semanticscholar.org/paper/66b39a8ecf36bfdead57c49dd809f0d9a782e9b2
215ff26bbe079590041beb9d513613ae327bb822,TCP Congestion Control Algorithm Using Queueing Theory-Based Optimality Equation,D. W. Ngwenya; M. C. Hlophe; B. Maharaj,2025,Electronics,https://www.semanticscholar.org/paper/215ff26bbe079590041beb9d513613ae327bb822
aea1cfd9243c335ade2309fa610150e3f93f4ba8,Understanding the Modern Internet's Heterogeneous Congestion Control Landscape,Ayush Mishra,2025,ACM SIGMETRICS Performance Evaluation Review,https://www.semanticscholar.org/paper/aea1cfd9243c335ade2309fa610150e3f93f4ba8
a068f3cef964cc4a13dce866455438792ac7862f,Network Performance Analysis of Starlink: A Proliferated Low Earth Orbit Satellite Internet System,Aaron Wong; Victor Buhl; J. McEachen; Sean Kennedy; James McEachen,2024,International Conference on Signal Processing and Communication Systems,https://www.semanticscholar.org/paper/a068f3cef964cc4a13dce866455438792ac7862f
9d0f1a135edb7c047ad1f9e961d981af87cc6526,CosMAC: Constellation-Aware Medium Access and Scheduling for IoT Satellites,Jay Shenoy; Om Chabra; Tusher Chakraborty; Suraj Jog; Deepak Vasisht; Ranveer Chandra,2024,ACM/IEEE International Conference on Mobile Computing and Networking,https://www.semanticscholar.org/paper/9d0f1a135edb7c047ad1f9e961d981af87cc6526
8ef00c90722cd737796c1c2168e61bf2b57973dc,RTCC: Enable End-to-end Sub-RTT Congestion Control for Next-generation Network,Yihang Zhang; Zhidong Jia; Qingyang Li; Xinggong Zhang; Zongming Guo,2024,"Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks",https://www.semanticscholar.org/paper/8ef00c90722cd737796c1c2168e61bf2b57973dc
9595a23f1e787981c2d6fa4372841b92cb60cd3e,QCC: Driver-Queue Based Congestion Control for Data Uploading in Wireless Networks,Lingang Li; Yongrui Chen; Zhijun Li,2024,IEEE Transactions on Mobile Computing,https://www.semanticscholar.org/paper/9595a23f1e787981c2d6fa4372841b92cb60cd3e
a29548a3cc7d43e7fb5171c28ca2a026d8a4c4fc,Mobility-Aware Congestion Control for Multipath QUIC in Integrated Terrestrial Satellite Networks,Wenjun Yang; Lin Cai; Shengjie Shu; Jianping Pan,2024,IEEE Transactions on Mobile Computing,https://www.semanticscholar.org/paper/a29548a3cc7d43e7fb5171c28ca2a026d8a4c4fc
9c3a0598acc6849f263f2a27ebfc45bc7475cf50,Athena: Seeing and Mitigating Wireless Impact on Video Conferencing and Beyond,Fan Yi; Haoran Wan; Kyle Jamieson; Jennifer Rexford; Yaxiong Xie; Oliver Michel,2024,ACM Workshop on Hot Topics in Networks,https://www.semanticscholar.org/paper/9c3a0598acc6849f263f2a27ebfc45bc7475cf50
86e301fe1e64633cb667de59766ee499aed1971f,MLTCP: A Distributed Technique to Approximate Centralized Flow Scheduling For Machine Learning,S. Rajasekaran; Sanjoli Narang; Anton A. Zabreyko; M. Ghobadi,2024,ACM Workshop on Hot Topics in Networks,https://www.semanticscholar.org/paper/86e301fe1e64633cb667de59766ee499aed1971f
3d5a0a94663ece92bcd8b93e4126ef4a72e13505,Optimized Congestion Control Algorithm for QUIC in Wireless Networks: CubicBytes-N Algorithm,Xiang Xiao; Long Chen; Ming Zhao,2024,IEEE Internet of Things Journal,https://www.semanticscholar.org/paper/3d5a0a94663ece92bcd8b93e4126ef4a72e13505
a2f48cfaa7805b87f153cf4ac1fd949281a246fb,EDM: An Ultra-Low Latency Ethernet Fabric for Memory Disaggregation,Weigao Su; Vishal Shrivastav,2024,International Conference on Architectural Support for Programming Languages and Operating Systems,https://www.semanticscholar.org/paper/a2f48cfaa7805b87f153cf4ac1fd949281a246fb
8a39cc6d114cfac3e22681003c57bc306e6e0665,Loss-tolerant neural video codec aware congestion control for real time video communication,Zhengxu Xia; Hanchen Li; Junchen Jiang,2024,arXiv.org,https://www.semanticscholar.org/paper/8a39cc6d114cfac3e22681003c57bc306e6e0665
a4183646c23c9d8afe7b39f966170610ba34821d,Adaptive congestion control in IoT networks: Leveraging one-way delay for enhanced performance,Lal Pratap Verma; G. Kumar; O. I. Khalaf; Wing-Keung Wong; A. A. Hamad; SurSingh Rawat,2024,Heliyon,https://www.semanticscholar.org/paper/a4183646c23c9d8afe7b39f966170610ba34821d
a0c3c73f49d20a444c6a9f901fca9f5a72cf1cba,Adaptive Congestion Control Strategies for LEO Satellite Networks,Jialing Fang; Jingjing Zhang,2024,International Conference on Speech Technology and Human-Computer Dialogue,https://www.semanticscholar.org/paper/a0c3c73f49d20a444c6a9f901fca9f5a72cf1cba
