paper_id,title,authors,year,venue,url
241aa9c1c9da5f5e3799ba7c6f5e868a9f131baf,"Adaptive filtering in subbands with critical sampling: analysis, experiments, and application to acoustic echo cancellation",A. Gilloire; M. Vetterli,1992,IEEE Transactions on Signal Processing,https://www.semanticscholar.org/paper/241aa9c1c9da5f5e3799ba7c6f5e868a9f131baf
8c3decc04dd00c9d427dd99e8049a1e934895077,Enhanced SAF algorithm with Tukey’s biweight loss,Chenggang Li; Xiaohong Yin; Kai-Li Yin,2025,Journal of the Franklin Institute,https://www.semanticscholar.org/paper/8c3decc04dd00c9d427dd99e8049a1e934895077
7c89208eec53b671974a05cf91d9d3ce7eb9e0f5,A Dilated CNN and BiLSTM-GRU Based on Multi-Noise Classifier for Single Speech enhancement,Aliouat Mahfoud; Djendi Mohamed,2024,International Conference on Transportation Information and Safety,https://www.semanticscholar.org/paper/7c89208eec53b671974a05cf91d9d3ce7eb9e0f5
55fcca0583f473676aa1957be2bf83f5700c7ea4,A tensor decomposition based multichannel linear prediction approach to speech dereverberation,Xiaojin Zeng; Hongsen He; Jingdong Chen; J. Benesty,2023,Applied Acoustics,https://www.semanticscholar.org/paper/55fcca0583f473676aa1957be2bf83f5700c7ea4
e15ff3f73330ca44dd323cdf484bdd38fb99cfb3,Polynomial Eigenvalue Decomposition for Multichannel Broadband Signal Processing: A mathematical technique offering new insights and solutions,Vincent W. Neo; Soydan Redif; J. McWhirter; Jennifer Pestana; I. Proudler; Stephan Weiss; P. Naylor,2023,IEEE Signal Processing Magazine,https://www.semanticscholar.org/paper/e15ff3f73330ca44dd323cdf484bdd38fb99cfb3
5c403a4fc3a6d711511b52fefb3d93f3437b24e3,AECSQI: Referenceless Acoustic Echo Cancellation Measures Using Speech Quality and Intelligibility Improvement,Jingeun Lee; Hyeong-Seok Choi; Kyogu Lee,2023,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,https://www.semanticscholar.org/paper/5c403a4fc3a6d711511b52fefb3d93f3437b24e3
0e472a7397068ea09c586ff250f657c74df8f233,A Shrinkage Dual Sign Subband Adaptive Filter with Individual Weight Factor,Qianqian Liu; Zhigang Li; Y. He,2023,"2023 3rd International Conference on Computer, Control and Robotics (ICCCR)",https://www.semanticscholar.org/paper/0e472a7397068ea09c586ff250f657c74df8f233
2e0c222a47f4e97d2cac386bb9620b89ce257614,Subband reinforced adaptive feedback control algorithm in mechanical vibration control,Mingke Ren; Xiling Xie; Zhiyi Zhang,2022,Journal of Vibration and Control,https://www.semanticscholar.org/paper/2e0c222a47f4e97d2cac386bb9620b89ce257614
8c8da55bb2b1187c731630faab002b6047a46db8,Comparative Study of Acoustic Echo Cancellation Algorithms for Speech Recognition System in Noisy Environment,U. Shrawankar,2022,arXiv.org,https://www.semanticscholar.org/paper/8c8da55bb2b1187c731630faab002b6047a46db8
0bd3256974d3cc547c58408331edb0d8cafae88b,"An online algorithm for echo cancellation, dereverberation and noise reduction based on a Kalman-EM Method",N. Cohen; G. Hazan; Boaz Schwartz; S. Gannot,2021,"EURASIP Journal on Audio, Speech, and Music Processing",https://www.semanticscholar.org/paper/0bd3256974d3cc547c58408331edb0d8cafae88b
35a336b5851addf89e94a7fb377acdd228046ba3,New efficient subband structures for blind source separation,P. B. Batalheiro; M. R. Petraglia; D. B. Haddad,2021,Signal Processing,https://www.semanticscholar.org/paper/35a336b5851addf89e94a7fb377acdd228046ba3
59f9a1bdaf51bd7e7de7bbee5144fc40cfff23f7,Active headrests with selective delayless subband adaptive filters in an aircraft cabin,Jan Buck; D. Sachau,2021,,https://www.semanticscholar.org/paper/59f9a1bdaf51bd7e7de7bbee5144fc40cfff23f7
aae369697b10bd7eb2e9c21a8c1911a4359707f0,Sparsity-aware normalized subband adaptive filters with jointly optimized parameters,Lipeng Ji; J. Ni,2020,Journal of the Franklin Institute,https://www.semanticscholar.org/paper/aae369697b10bd7eb2e9c21a8c1911a4359707f0
3ed91aae1038b8b0130fb3974060a50b10de1345,Far-Field Automatic Speech Recognition,R. Haeb-Umbach; Jahn Heymann; Lukas Drude; Shinji Watanabe; Marc Delcroix; Tomohiro Nakatani Paderborn University; H Germany; A. Aachen; J. University; Baltimore.; Usa; Ntt Communication Science Laboratories; Kyoto; Japan.,2020,Proceedings of the IEEE,https://www.semanticscholar.org/paper/3ed91aae1038b8b0130fb3974060a50b10de1345
1334e3b23bc960d60b613df4812c8d8bce495d9b,iMetricGAN: Intelligibility Enhancement for Speech-in-Noise using Generative Adversarial Network-based Metric Learning,Haoyu Li; Szu-Wei Fu; Yu Tsao; J. Yamagishi,2020,Interspeech,https://www.semanticscholar.org/paper/1334e3b23bc960d60b613df4812c8d8bce495d9b
12d030681091a13cc85ac998e566efb847690257,A new simplified fast transversal filter algorithm based on subband approach (SSFTF) for acoustic echo cancellation,A. Bessekri; M. Djendi; A. Guessoum,2020,,https://www.semanticscholar.org/paper/12d030681091a13cc85ac998e566efb847690257
