paper_id,title,authors,year,venue,url
9d93dd971b392719a2b4c2d147b12943f9d79edf,Approximating k-median via pseudo-approximation,Shi Li; O. Svensson,2012,Symposium on the Theory of Computing,https://www.semanticscholar.org/paper/9d93dd971b392719a2b4c2d147b12943f9d79edf
f38814d36929bbc91010ac77f71bcbbed70a45e9,NavEX: A Multi-Agent Coverage in Non-Convex and Uneven Environments via Exemplar-Clustering,Donipolo Ghimire; Carlos Nieto-Granda; Solmaz S. Kia,2025,arXiv.org,https://www.semanticscholar.org/paper/f38814d36929bbc91010ac77f71bcbbed70a45e9
1fd2be3996ec546b9e00fd80fd9d44c7bd9556be,A Local Search Algorithm for the Radius-Constrained k-Median Problem,Gaojie Chi; Longkun Guo; Chaoqi Jia,2025,Theory of Computing Systems,https://www.semanticscholar.org/paper/1fd2be3996ec546b9e00fd80fd9d44c7bd9556be
fa244348a662ca922a983f216938036cc42183ba,Clustering to Minimize Cluster-Aware Norm Objectives,Martin Herold; Evangelos Kipouridis; Joachim Spoerhase,2024,ACM-SIAM Symposium on Discrete Algorithms,https://www.semanticscholar.org/paper/fa244348a662ca922a983f216938036cc42183ba
d1d1460fffa48461aaeefee85d1c2d10b2aedc1a,Improved Approximation Algorithms for Relational Clustering,Aryan Esmailpour; Stavros Sintos,2024,Proc. ACM Manag. Data,https://www.semanticscholar.org/paper/d1d1460fffa48461aaeefee85d1c2d10b2aedc1a
0993257dd25b0ba266c4c8646a4a19fd216bb323,Large-Scale K-Clustering,Konstantin Voevodski,2024,ACM Transactions on Knowledge Discovery from Data,https://www.semanticscholar.org/paper/0993257dd25b0ba266c4c8646a4a19fd216bb323
5c73f77327dfc2c6e7057c8723735bff0674c694,Parameterized Inapproximability Hypothesis under Exponential Time Hypothesis,V. Guruswami; Bingkai Lin; Xuandi Ren; Yican Sun; Kewen Wu,2024,Symposium on the Theory of Computing,https://www.semanticscholar.org/paper/5c73f77327dfc2c6e7057c8723735bff0674c694
72a8222968e83e02da0a5823f4f9135725d26d70,Low-Distortion Clustering with Ordinal and Limited Cardinal Information,Jakob Burkhardt; Ioannis Caragiannis; K. Fehrs; Matteo Russo; Chris Schwiegelshohn; Sudarshan Shyam,2024,AAAI Conference on Artificial Intelligence,https://www.semanticscholar.org/paper/72a8222968e83e02da0a5823f4f9135725d26d70
5bb675c021f68f7db09a73773799bc5906f3b883,Separating k-Median from the Supplier Version,Aditya Anand; Euiwoong Lee,2024,arXiv.org,https://www.semanticscholar.org/paper/5bb675c021f68f7db09a73773799bc5906f3b883
9f308f8e6d45777448ec1beb7829472ecdb23fe4,Parameterized Inapproximability Hypothesis under ETH,V. Guruswami; Bingkai Lin; Xuandi Ren; Yican Sun; Kewen Wu,2023,Electron. Colloquium Comput. Complex.,https://www.semanticscholar.org/paper/9f308f8e6d45777448ec1beb7829472ecdb23fe4
56e0c6ed5d925e845b93ad201c2678e04710870b,Baby PIH: Parameterized Inapproximability of Min CSP,V. Guruswami; Xuandi Ren; Sai Sandeep,2023,Electron. Colloquium Comput. Complex.,https://www.semanticscholar.org/paper/56e0c6ed5d925e845b93ad201c2678e04710870b
18c7e7a07af7677d910e1f560f9e169357f00d38,"Simple, Scalable and Effective Clustering via One-Dimensional Projections",M. Charikar; Monika Henzinger; Lunjia Hu; Maximilian Vötsch; Erik Waingarten,2023,Neural Information Processing Systems,https://www.semanticscholar.org/paper/18c7e7a07af7677d910e1f560f9e169357f00d38
c160f7b405820307a7010b8761335b424c8100b7,Deterministic Clustering in High Dimensional Spaces: Sketches and Approximation,Vincent Cohen-Addad; David Saulpic; Chris Schwiegelshohn,2023,IEEE Annual Symposium on Foundations of Computer Science,https://www.semanticscholar.org/paper/c160f7b405820307a7010b8761335b424c8100b7
ae13e7155b1b4883b0e0b7e2a548051946e0fe17,Clustering Graphs of Bounded Treewidth to Minimize the Sum of Radius-Dependent Costs,Lukas Drexler; Jan Höckendorff; Joshua Könen; Kevin Schewior,2023,arXiv.org,https://www.semanticscholar.org/paper/ae13e7155b1b4883b0e0b7e2a548051946e0fe17
95118d22316916f0f671a6df99a6fe2f56ec4ce6,Differentially Private Clustering in Data Streams,Alessandro Epasto; Tamalika Mukherjee; Peilin Zhong,2023,arXiv.org,https://www.semanticscholar.org/paper/95118d22316916f0f671a6df99a6fe2f56ec4ce6
697d33d8953865f43af88fb7932e6e9142aa91a2,Approximating Median Points in a Convex Polygon,Reyhaneh Mohammadi; Raghuveer Devulapalli; M. Behroozi,2023,arXiv.org,https://www.semanticscholar.org/paper/697d33d8953865f43af88fb7932e6e9142aa91a2
e48233dda7c2eb6f73f8b570a27649d9bd336f93,Distributed Multirobot Coverage Control of Nonconvex Environments With Guarantees,Armin Sadeghi Yengejeh; A. Asghar; Stephen L. Smith,2023,IEEE Transactions on Control of Network Systems,https://www.semanticscholar.org/paper/e48233dda7c2eb6f73f8b570a27649d9bd336f93
1ef6143d2151862062899a8805bc3b72fb2099e3,Random Cuts are Optimal for Explainable k-Medians,K. Makarychev; Liren Shan,2023,Neural Information Processing Systems,https://www.semanticscholar.org/paper/1ef6143d2151862062899a8805bc3b72fb2099e3
816958a22d3d9e7c74d8e9e93c2f51be044dfa1b,A new clustering algorithm based on connectivity,Jiaqiang Wan; K. Zhang; Zhenpeng Guo; Duoqian Miao,2023,Applied intelligence (Boston),https://www.semanticscholar.org/paper/816958a22d3d9e7c74d8e9e93c2f51be044dfa1b
2b3937f2c7998f70c098926f86a48f2fa8a745f2,Online k-Median with Consistent Clusters,Benjamin Moseley; Heather Newman; K. Pruhs,2023,"International Workshop and International Workshop on Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques",https://www.semanticscholar.org/paper/2b3937f2c7998f70c098926f86a48f2fa8a745f2
