source,target
81c92ed8b31b68d47d091ca97f6360eda11d1943,4c7db20078a55d7b86f9da246524306383a39ed8
483a22c8d6be259e059017c3b53f5293d41f84d9,4c7db20078a55d7b86f9da246524306383a39ed8
30f22b4ff4116c5fd705b01db1291e9f2b847002,4c7db20078a55d7b86f9da246524306383a39ed8
1531a962cab950827b43981711c644d95f350247,4c7db20078a55d7b86f9da246524306383a39ed8
0c5fa645b0464e9528fc776646934cbf2292dba6,4c7db20078a55d7b86f9da246524306383a39ed8
66b39a8ecf36bfdead57c49dd809f0d9a782e9b2,4c7db20078a55d7b86f9da246524306383a39ed8
215ff26bbe079590041beb9d513613ae327bb822,4c7db20078a55d7b86f9da246524306383a39ed8
aea1cfd9243c335ade2309fa610150e3f93f4ba8,4c7db20078a55d7b86f9da246524306383a39ed8
a068f3cef964cc4a13dce866455438792ac7862f,4c7db20078a55d7b86f9da246524306383a39ed8
9d0f1a135edb7c047ad1f9e961d981af87cc6526,4c7db20078a55d7b86f9da246524306383a39ed8
8ef00c90722cd737796c1c2168e61bf2b57973dc,4c7db20078a55d7b86f9da246524306383a39ed8
9595a23f1e787981c2d6fa4372841b92cb60cd3e,4c7db20078a55d7b86f9da246524306383a39ed8
a29548a3cc7d43e7fb5171c28ca2a026d8a4c4fc,4c7db20078a55d7b86f9da246524306383a39ed8
9c3a0598acc6849f263f2a27ebfc45bc7475cf50,4c7db20078a55d7b86f9da246524306383a39ed8
86e301fe1e64633cb667de59766ee499aed1971f,4c7db20078a55d7b86f9da246524306383a39ed8
3d5a0a94663ece92bcd8b93e4126ef4a72e13505,4c7db20078a55d7b86f9da246524306383a39ed8
a2f48cfaa7805b87f153cf4ac1fd949281a246fb,4c7db20078a55d7b86f9da246524306383a39ed8
8a39cc6d114cfac3e22681003c57bc306e6e0665,4c7db20078a55d7b86f9da246524306383a39ed8
a4183646c23c9d8afe7b39f966170610ba34821d,4c7db20078a55d7b86f9da246524306383a39ed8
a0c3c73f49d20a444c6a9f901fca9f5a72cf1cba,4c7db20078a55d7b86f9da246524306383a39ed8
480b02074878ec5453903776e3ee066057c21fd8,4c7db20078a55d7b86f9da246524306383a39ed8
d13ee9005d475d7ef6e5fad33ffba268022d375a,4c7db20078a55d7b86f9da246524306383a39ed8
0ae81ce087e2181f5ac4f0b61ee5bc4ba0ef4830,4c7db20078a55d7b86f9da246524306383a39ed8
86234587d791323dbd086f980e3b7c1ada4250a0,4c7db20078a55d7b86f9da246524306383a39ed8
e9c45c99ed77071e0f7ae34cc6ad0dd340d8d21e,4c7db20078a55d7b86f9da246524306383a39ed8
8abcee77f011775f498378539a0dbfc1e73f4b27,4c7db20078a55d7b86f9da246524306383a39ed8
2e92043fefb7c36188d2f99f69378035710fd80b,4c7db20078a55d7b86f9da246524306383a39ed8
a7bb1b8959c5ff313056e5ccc3a5948ee6b72a75,4c7db20078a55d7b86f9da246524306383a39ed8
c4a3e1dfc41f9e6f7af63b18b239ea2312d78f50,4c7db20078a55d7b86f9da246524306383a39ed8
d3f42b84e5719f2ee9079c1826e3ff16dc280543,4c7db20078a55d7b86f9da246524306383a39ed8
1ae0881d42811a4e1ea8debd9efca3178817c91a,4c7db20078a55d7b86f9da246524306383a39ed8
7050d358fda2545c2475822461a10fa3a96690a6,4c7db20078a55d7b86f9da246524306383a39ed8
b13a46382fdf40590a6633758e21840f270ea3af,4c7db20078a55d7b86f9da246524306383a39ed8
883f91d2eeb549ac189eef0d2f36b9497ab8ea67,4c7db20078a55d7b86f9da246524306383a39ed8
62222a980fcd31b24f2c4204839ea2105be83ed9,4c7db20078a55d7b86f9da246524306383a39ed8
be304916fc7c99a4117e930cc18640d9e76a2c9d,4c7db20078a55d7b86f9da246524306383a39ed8
22af70b0b268da0f71549bad07d5b3f24528fb16,4c7db20078a55d7b86f9da246524306383a39ed8
1820ae177a44bf8ff771bbac5690fe1865009286,4c7db20078a55d7b86f9da246524306383a39ed8
5dbe96d14d2bac40036c751a93c62b938f410adc,4c7db20078a55d7b86f9da246524306383a39ed8
57692cb2bcaac37097d5475fa34e88a3c946a9fd,4c7db20078a55d7b86f9da246524306383a39ed8
cb177898df12cd5e0c62267036955e50433fe53a,4c7db20078a55d7b86f9da246524306383a39ed8
d4be234b7246c8595b2d256c90d53b76f7334006,4c7db20078a55d7b86f9da246524306383a39ed8
84abfd2cb3892c3ed8edb79114f9bdef8817b044,4c7db20078a55d7b86f9da246524306383a39ed8
fb89ac3493c876c6d552cc7a7253c2541d083a7c,4c7db20078a55d7b86f9da246524306383a39ed8
