paper_id,title,authors,year,venue,url
c7b38838ffe4f6b0bd95c2dbf981446eecad3b44,Flexible Instruction-Set Semantics via Abstract Monads (Experience Report),Thomas Bourgeat; Ian Clester; Andres Erbsen; Samuel Gruetter; Pratap Singh; A. Wright; A. Chlipala,2023,Proc. ACM Program. Lang.,https://www.semanticscholar.org/paper/c7b38838ffe4f6b0bd95c2dbf981446eecad3b44
e7ab26b110ac0bfe1ed3d0ee128bf01780291731,"Smooth, Integrated Proofs of Cryptographic Constant Time for Nondeterministic Programs and Compilers",Owen Conoly; Andres Erbsen; A. Chlipala,2025,arXiv.org,https://www.semanticscholar.org/paper/e7ab26b110ac0bfe1ed3d0ee128bf01780291731
edeb7e8b526802b3c389d50d4c45647d5ac46c55,Foundational Integration Verification of a Cryptographic Server,Andres Erbsen; Jade Philipoom; Dustin Jamner; Ashley Lin; Samuel Gruetter; Clément Pit-Claudel; A. Chlipala,2024,Proc. ACM Program. Lang.,https://www.semanticscholar.org/paper/edeb7e8b526802b3c389d50d4c45647d5ac46c55
a2416ab36759a220edc2b8d6d8e02a0649784c34,Accurate and Extensible Symbolic Execution of Binary Code Based on Formal ISA Semantics,Sören Tempel; Tobias Brandt; Christoph Lüth; Christian Dietrich; Rolf Drechsler,2024,"Design, Automation and Test in Europe",https://www.semanticscholar.org/paper/a2416ab36759a220edc2b8d6d8e02a0649784c34
4fbe367634311e462b4963135dde719dcd5dd039,BinSym: Binary-Level Symbolic Execution using Formal Descriptions of Instruction Semantics,Sören Tempel; Tobias Brandt; Christoph Lüth; Rolf Drechsler,2024,arXiv.org,https://www.semanticscholar.org/paper/4fbe367634311e462b4963135dde719dcd5dd039
